object_size_px,velocity_px_s,background,threshold_name,theta,event_rate_raw,event_rate_scaled,event_rate_eff,power_static_mW,power_dynamic_mW,power_total_mW,saturated
25,10,low_texture,low_threshold,0.1,2789.6,5579.2,5579.2,19.14,0.028,19.168,0
25,10,low_texture,med_threshold,0.2,2789.6,2789.6,2789.6,19.14,0.014,19.154,0
25,10,low_texture,high_threshold,0.4,2789.6,1394.8,1394.8,19.14,0.007,19.147,0
25,50,low_texture,low_threshold,0.1,13948.0,27896.0,27896.0,19.14,0.138,19.278,0
25,50,low_texture,med_threshold,0.2,13948.0,13948.0,13948.0,19.14,0.069,19.209,0
25,50,low_texture,high_threshold,0.4,13948.0,6974.0,6974.0,19.14,0.035,19.175,0
25,100,low_texture,low_threshold,0.1,27896.0,55792.0,55792.0,19.14,0.276,19.416,0
25,100,low_texture,med_threshold,0.2,27896.0,27896.0,27896.0,19.14,0.138,19.278,0
25,100,low_texture,high_threshold,0.4,27896.0,13948.0,13948.0,19.14,0.069,19.209,0
25,200,low_texture,low_threshold,0.1,55792.0,111584.0,111584.0,19.14,0.552,19.692,0
25,200,low_texture,med_threshold,0.2,55792.0,55792.0,55792.0,19.14,0.276,19.416,0
25,200,low_texture,high_threshold,0.4,55792.0,27896.0,27896.0,19.14,0.138,19.278,0
25,500,low_texture,low_threshold,0.1,139480.0,278960.0,278960.0,19.14,1.381,20.521,0
25,500,low_texture,med_threshold,0.2,139480.0,139480.0,139480.0,19.14,0.69,19.83,0
25,500,low_texture,high_threshold,0.4,139480.0,69740.0,69740.0,19.14,0.345,19.485,0
50,10,low_texture,low_threshold,0.1,3889.6,7779.2,7779.2,19.14,0.039,19.179,0
50,10,low_texture,med_threshold,0.2,3889.6,3889.6,3889.6,19.14,0.019,19.159,0
50,10,low_texture,high_threshold,0.4,3889.6,1944.8,1944.8,19.14,0.01,19.15,0
50,50,low_texture,low_threshold,0.1,19448.0,38896.0,38896.0,19.14,0.193,19.333,0
50,50,low_texture,med_threshold,0.2,19448.0,19448.0,19448.0,19.14,0.096,19.236,0
50,50,low_texture,high_threshold,0.4,19448.0,9724.0,9724.0,19.14,0.048,19.188,0
50,100,low_texture,low_threshold,0.1,38896.0,77792.0,77792.0,19.14,0.385,19.525,0
50,100,low_texture,med_threshold,0.2,38896.0,38896.0,38896.0,19.14,0.193,19.333,0
50,100,low_texture,high_threshold,0.4,38896.0,19448.0,19448.0,19.14,0.096,19.236,0
50,200,low_texture,low_threshold,0.1,77792.0,155584.0,155584.0,19.14,0.77,19.91,0
50,200,low_texture,med_threshold,0.2,77792.0,77792.0,77792.0,19.14,0.385,19.525,0
50,200,low_texture,high_threshold,0.4,77792.0,38896.0,38896.0,19.14,0.193,19.333,0
50,500,low_texture,low_threshold,0.1,194480.0,388960.0,388960.0,19.14,1.925,21.065,0
50,500,low_texture,med_threshold,0.2,194480.0,194480.0,194480.0,19.14,0.963,20.103,0
50,500,low_texture,high_threshold,0.4,194480.0,97240.0,97240.0,19.14,0.481,19.621,0
100,10,low_texture,low_threshold,0.1,6089.6,12179.2,12179.2,19.14,0.06,19.2,0
100,10,low_texture,med_threshold,0.2,6089.6,6089.6,6089.6,19.14,0.03,19.17,0
100,10,low_texture,high_threshold,0.4,6089.6,3044.8,3044.8,19.14,0.015,19.155,0
100,50,low_texture,low_threshold,0.1,30448.0,60896.0,60896.0,19.14,0.301,19.441,0
100,50,low_texture,med_threshold,0.2,30448.0,30448.0,30448.0,19.14,0.151,19.291,0
100,50,low_texture,high_threshold,0.4,30448.0,15224.0,15224.0,19.14,0.075,19.215,0
100,100,low_texture,low_threshold,0.1,60896.0,121792.0,121792.0,19.14,0.603,19.743,0
100,100,low_texture,med_threshold,0.2,60896.0,60896.0,60896.0,19.14,0.301,19.441,0
100,100,low_texture,high_threshold,0.4,60896.0,30448.0,30448.0,19.14,0.151,19.291,0
100,200,low_texture,low_threshold,0.1,121792.0,243584.0,243584.0,19.14,1.206,20.346,0
100,200,low_texture,med_threshold,0.2,121792.0,121792.0,121792.0,19.14,0.603,19.743,0
