detector,tracker,sensor,theta,measured_event_rate,measured_fps,power_mW,wall_clock_s,mota,motp,idf1,id_switches,num_gt,num_pred,total_time_s
frame_diff,centroid,DVS,0.2,758046.5,30.0,22.892,44.08,-0.33040935672514626,0.390197540956993,0.0158148729577301,18,12654,4545,44.08
frame_diff,centroid,CIS-RGB,,,30.0,359.9477,19.73,-0.014698909435751473,,0.0,0,12654,186,19.73
frame_diff,centroid,CIS-gray,,,30.0,359.9477,29.73,-0.014698909435751473,,0.0,0,12654,186,29.74
frame_diff,iou,DVS,0.2,758046.5,30.0,22.892,43.66,-0.2783309625414889,0.38658643615788196,0.013220935168900478,19,12654,3835,43.66
frame_diff,iou,CIS-RGB,,,30.0,359.9477,20.04,-0.010036352141615357,,0.0,0,12654,127,20.04
frame_diff,iou,CIS-gray,,,30.0,359.9477,28.08,-0.010036352141615357,,0.0,0,12654,127,28.08
frame_diff,sort,DVS,0.2,758046.5,30.0,22.892,44.12,-0.27453769559032715,0.391880952310209,0.014082797134879204,16,12654,3820,44.13
frame_diff,sort,CIS-RGB,,,30.0,359.9477,18.79,-0.010747589694958037,,0.0,0,12654,136,18.8
frame_diff,sort,CIS-gray,,,30.0,359.9477,29.26,-0.010747589694958037,,0.0,0,12654,136,29.26
mog2,centroid,DVS,0.2,758046.5,30.0,22.892,44.27,-0.16461198040145408,0.3680592915150681,0.01490749367762545,13,12654,2372,44.3
mog2,centroid,CIS-RGB,,,30.0,359.9477,26.83,-0.13979769242927143,0.3639278150329355,0.09296452194828624,45,12654,3976,26.85
mog2,centroid,CIS-gray,,,30.0,359.9477,35.63,-0.15046625572941363,0.3673060616748618,0.09072387344199424,38,12654,4034,35.64
mog2,iou,DVS,0.2,758046.5,30.0,22.892,45.09,-0.13671566303145255,0.36395764686971194,0.01379027853631895,10,12654,1994,45.1
mog2,iou,CIS-RGB,,,30.0,359.9477,25.79,-0.12833886518097049,0.36336229758609234,0.10111063907264672,35,12654,3823,25.8
mog2,iou,CIS-gray,,,30.0,359.9477,34.68,-0.13845424371740167,0.36711114207015955,0.0951170811399528,33,12654,3873,34.69
mog2,sort,DVS,0.2,758046.5,30.0,22.892,44.83,-0.13458195037142406,0.38695847292843916,0.01541189307146754,11,12654,2010,44.84
mog2,sort,CIS-RGB,,,30.0,359.9477,28.48,-0.1182234866445393,0.3710266896421249,0.10722327024888943,35,12654,3779,28.49
mog2,sort,CIS-gray,,,30.0,359.9477,35.98,-0.12660028449502136,0.37718660026952155,0.09919359728369612,33,12654,3839,36.0
knn,centroid,DVS,0.2,758046.5,30.0,22.892,44.2,-0.19701280227596007,0.36771715432266966,0.02350386408635115,20,12654,3003,44.22
knn,centroid,CIS-RGB,,,30.0,359.9477,26.85,-0.14027185079816662,0.3527632512350596,0.15422912495264895,50,12654,5825,26.87
knn,centroid,CIS-gray,,,30.0,359.9477,26.69,-0.14785838470048995,0.35948913964537543,0.1477612752298569,52,12654,5727,26.71
knn,iou,DVS,0.2,758046.5,30.0,22.892,32.41,-0.16477003319108574,0.36355389329095983,0.0212947748931975,16,12654,2561,32.42
knn,iou,CIS-RGB,,,30.0,359.9477,21.27,-0.13063063063063063,0.3524784996167524,0.1710985178727114,43,12654,5698,21.29
knn,iou,CIS-gray,,,30.0,359.9477,21.44,-0.13987671882408725,0.3587072747481126,0.15500137023842148,55,12654,5591,21.45
knn,sort,DVS,0.2,758046.5,30.0,22.892,27.05,-0.16358463726884787,0.3775090984419413,0.022830151544971464,15,12654,2589,27.06
knn,sort,CIS-RGB,,,30.0,359.9477,19.19,-0.11846056582898679,0.3615410838695935,0.1692265646351462,48,12654,5641,19.2
knn,sort,CIS-gray,,,30.0,359.9477,20.51,-0.12920815552394505,0.36598798878601474,0.15431996920200186,40,12654,5529,20.52
optical_flow,centroid,DVS,0.2,758046.5,30.0,22.892,55.62,-0.329856171961435,0.3776695808426995,0.036254119786339356,12,12654,4944,55.62
optical_flow,centroid,CIS-RGB,,,30.0,359.9477,126.82,-0.15307412675833731,0.3593663084621141,0.06046684877079712,89,12654,3454,126.82
optical_flow,centroid,CIS-gray,,,30.0,359.9477,125.9,-0.15307412675833731,0.3593663084621141,0.06046684877079712,89,12654,3454,125.9
optical_flow,iou,DVS,0.2,758046.5,30.0,22.892,52.76,-0.2771455666192508,0.37785090398124244,0.039579395085066166,9,12654,4274,52.76
optical_flow,iou,CIS-RGB,,,30.0,359.9477,122.49,-0.0990990990990992,0.35655195476293566,0.06472238533307235,69,12654,2673,122.49
optical_flow,iou,CIS-gray,,,30.0,359.9477,121.99,-0.0990990990990992,0.35655195476293566,0.06472238533307235,69,12654,2673,121.99
optical_flow,sort,DVS,0.2,758046.5,30.0,22.892,48.75,-0.27619724988146044,0.37608656280691816,0.03738538893818397,12,12654,4251,48.75
optical_flow,sort,CIS-RGB,,,30.0,359.9477,118.27,-0.08171329223960799,0.36288405664137474,0.0680379746835443,62,12654,2514,118.27
optical_flow,sort,CIS-gray,,,30.0,359.9477,117.7,-0.08171329223960799,0.36288405664137474,0.0680379746835443,62,12654,2514,117.7
