velocity_px_s,sensor_type,sensor_name,resolution,event_rate,required_fps,power_mW,position_error_px,price,pixel_latency_us,e_per_event_nj
10,DVS,Lichtsteiner 2008,128x128,3889.6,,19.159,0.00015,N/A (research),15.0,4.95
10,DVS,DAVIS346,346x260,3889.6,,10.002,0.0002,"~$3,000 (dev kit)",20.0,0.49
10,DVS,Samsung DVS-Gen3.1,640x480,3889.6,,10.001,5e-05,~$100-300 (module),5.0,0.2
10,DVS,Prophesee IMX636,1280x720,3889.6,,32.0,0.0022,"~$3,500 (EVK4 kit)",220.0,0.1
10,CIS,OV7251 (OmniVision),640x480,,2.0,2.633,7.5,~$3-5,,
10,CIS,IMX327 (Sony),1920x1080,,2.0,24.5,7.5,~$15-25,,
10,CIS,AR0234 (ON Semi),1920x1200,,2.0,14.0,7.5,~$20-40,,
10,CIS,IMX462 (Sony),1920x1080,,2.0,16.967,7.5,~$20-30,,
50,DVS,Lichtsteiner 2008,128x128,19448.0,,19.236,0.00075,N/A (research),15.0,4.95
50,DVS,DAVIS346,346x260,19448.0,,10.01,0.001,"~$3,000 (dev kit)",20.0,0.49
50,DVS,Samsung DVS-Gen3.1,640x480,19448.0,,10.004,0.00025,~$100-300 (module),5.0,0.2
50,DVS,Prophesee IMX636,1280x720,19448.0,,32.002,0.011,"~$3,500 (EVK4 kit)",220.0,0.1
50,CIS,OV7251 (OmniVision),640x480,,10.0,5.167,7.5,~$3-5,,
50,CIS,IMX327 (Sony),1920x1080,,10.0,62.5,7.5,~$15-25,,
50,CIS,AR0234 (ON Semi),1920x1200,,10.0,30.0,7.5,~$20-40,,
50,CIS,IMX462 (Sony),1920x1080,,10.0,36.833,7.5,~$20-30,,
100,DVS,Lichtsteiner 2008,128x128,38896.0,,19.333,0.0015,N/A (research),15.0,4.95
100,DVS,DAVIS346,346x260,38896.0,,10.019,0.002,"~$3,000 (dev kit)",20.0,0.49
100,DVS,Samsung DVS-Gen3.1,640x480,38896.0,,10.008,0.0005,~$100-300 (module),5.0,0.2
100,DVS,Prophesee IMX636,1280x720,38896.0,,32.004,0.022,"~$3,500 (EVK4 kit)",220.0,0.1
100,CIS,OV7251 (OmniVision),640x480,,20.0,8.333,7.5,~$3-5,,
100,CIS,IMX327 (Sony),1920x1080,,20.0,110.0,7.5,~$15-25,,
100,CIS,AR0234 (ON Semi),1920x1200,,20.0,50.0,7.5,~$20-40,,
100,CIS,IMX462 (Sony),1920x1080,,20.0,61.667,7.5,~$20-30,,
200,DVS,Lichtsteiner 2008,128x128,77792.0,,19.525,0.003,N/A (research),15.0,4.95
200,DVS,DAVIS346,346x260,77792.0,,10.038,0.004,"~$3,000 (dev kit)",20.0,0.49
200,DVS,Samsung DVS-Gen3.1,640x480,77792.0,,10.016,0.001,~$100-300 (module),5.0,0.2
