sensor_name,sensor_type,tracker,velocity_scale,mean_velocity_px_s,power_mW,required_fps,actual_fps,contrast_threshold,fps_fraction,price,mota,motp,idf1,id_switches,num_gt,num_pred
Lichtsteiner 2008,DVS,centroid,10,10,19.15,,,0.1,,N/A (research),-0.39644444444444443,0.379284245294677,0.11972069881847024,90.33333333333333,1500.0,1451.0
Lichtsteiner 2008,DVS,centroid,2000,2000,21.07,,,0.1,,N/A (research),-0.1411111111111111,0.37997138479462045,0.017136193558103075,86.66666666666667,1500.0,367.6666666666667
Lichtsteiner 2008,DVS,iou,50,50,19.19,,,0.1,,N/A (research),-0.13466666666666663,0.37946539130497675,0.06733225286147244,120.33333333333333,1500.0,915.6666666666666
Lichtsteiner 2008,DVS,centroid,200,200,19.33,,,0.1,,N/A (research),-0.36977777777777776,0.3816868006142551,0.08194609222734127,87.0,1500.0,1412.3333333333333
Lichtsteiner 2008,DVS,centroid,500,500,19.62,,,0.1,,N/A (research),-0.34400000000000003,0.3836746467994807,0.05041905768703326,123.0,1500.0,1315.0
Lichtsteiner 2008,DVS,centroid,50,50,19.19,,,0.1,,N/A (research),-0.36999999999999994,0.3815270406862707,0.12508408657155315,79.33333333333333,1500.0,1452.3333333333333
Lichtsteiner 2008,DVS,centroid,100,100,19.24,,,0.1,,N/A (research),-0.35066666666666674,0.38380156085327916,0.11813854298542188,80.66666666666667,1500.0,1440.0
Lichtsteiner 2008,DVS,centroid,1000,1000,20.1,,,0.1,,N/A (research),-0.3506666666666667,0.38607313006261174,0.029999731160079996,162.0,1500.0,1055.3333333333333
Lichtsteiner 2008,DVS,iou,200,200,19.33,,,0.1,,N/A (research),-0.1351111111111111,0.3768463437104969,0.030210293693796953,136.0,1500.0,663.3333333333334
Lichtsteiner 2008,DVS,iou,10,10,19.15,,,0.1,,N/A (research),-0.16222222222222218,0.3760786932524393,0.07135423790243194,128.0,1500.0,947.3333333333334
Lichtsteiner 2008,DVS,iou,500,500,19.62,,,0.1,,N/A (research),-0.08511111111111114,0.38290200082812215,0.01684822183381157,105.0,1500.0,318.6666666666667
Lichtsteiner 2008,DVS,iou,100,100,19.24,,,0.1,,N/A (research),-0.11466666666666663,0.3805196172938299,0.04381857746085321,125.0,1500.0,827.0
Lichtsteiner 2008,DVS,iou,2000,2000,21.07,,,0.1,,N/A (research),-0.006666666666666672,0.4088554800329128,0.00439348282352233,1.0,1500.0,17.666666666666668
Lichtsteiner 2008,DVS,iou,1000,1000,20.1,,,0.1,,N/A (research),-0.02911111111111116,0.3869229932054357,0.00798699031257171,26.666666666666668,1500.0,85.66666666666667
DAVIS346,DVS,centroid,10,10,10.0,,,0.1,,"~$3,000 (dev kit)",0.42288888888888887,0.33687537311865207,0.6353812746084889,7.666666666666667,1500.0,1493.3333333333333
DAVIS346,DVS,centroid,50,50,10.0,,,0.1,,"~$3,000 (dev kit)",0.41,0.33650332693258617,0.544984270681268,16.0,1500.0,1489.6666666666667
DAVIS346,DVS,centroid,100,100,10.01,,,0.1,,"~$3,000 (dev kit)",0.42933333333333334,0.3373677033984623,0.4195871932569624,20.333333333333332,1500.0,1479.0
Lichtsteiner 2008,DVS,sort,2000,2000,21.07,,,0.1,,N/A (research),-0.0046666666666666705,0.40732990129276875,0.005266060514524285,3.3333333333333335,1500.0,18.333333333333332
Lichtsteiner 2008,DVS,sort,500,500,19.62,,,0.1,,N/A (research),-0.02711111111111116,0.3680248843391996,0.06461371741064707,63.333333333333336,1500.0,366.0
Lichtsteiner 2008,DVS,sort,100,100,19.24,,,0.1,,N/A (research),0.02066666666666665,0.36960766854946964,0.10333070377787064,93.0,1500.0,696.6666666666666
Lichtsteiner 2008,DVS,sort,1000,1000,20.1,,,0.1,,N/A (research),-0.039333333333333366,0.38623018858971125,0.019943408683439145,30.333333333333332,1500.0,135.33333333333334
Lichtsteiner 2008,DVS,sort,10,10,19.15,,,0.1,,N/A (research),0.042,0.37284574734253306,0.12192161566020027,86.0,1500.0,751.6666666666666
Lichtsteiner 2008,DVS,sort,200,200,19.33,,,0.1,,N/A (research),-0.02844444444444442,0.37744799439870197,0.09528959404746003,83.33333333333333,1500.0,570.0
Lichtsteiner 2008,DVS,sort,50,50,19.19,,,0.1,,N/A (research),0.008666666666666675,0.37131596527034944,0.11952346730274856,86.66666666666667,1500.0,717.0
DAVIS346,DVS,centroid,200,200,10.02,,,0.1,,"~$3,000 (dev kit)",0.39444444444444443,0.3373443097639655,0.21807678327016664,35.666666666666664,1500.0,1465.3333333333333
DAVIS346,DVS,centroid,500,500,10.05,,,0.1,,"~$3,000 (dev kit)",0.3515555555555556,0.33496644304437256,0.1073084446927921,110.0,1500.0,1401.3333333333333
DAVIS346,DVS,centroid,2000,2000,10.19,,,0.1,,"~$3,000 (dev kit)",0.04733333333333334,0.33010938872053874,0.03289988183605205,165.0,1500.0,485.3333333333333
DAVIS346,DVS,centroid,1000,1000,10.1,,,0.1,,"~$3,000 (dev kit)",0.18511111111111112,0.34067062843639206,0.0569797886859027,240.33333333333334,1500.0,1168.0
DAVIS346,DVS,iou,10,10,10.0,,,0.1,,"~$3,000 (dev kit)",0.3624444444444444,0.33563869613652947,0.21020084503588318,162.66666666666666,1500.0,1313.6666666666667
DAVIS346,DVS,iou,2000,2000,10.19,,,0.1,,"~$3,000 (dev kit)",0.0004444444444444695,0.3318087091844945,0.0057380533921222296,2.3333333333333335,1500.0,10.333333333333334
DAVIS346,DVS,iou,1000,1000,10.1,,,0.1,,"~$3,000 (dev kit)",-0.008222222222222278,0.3482723586071759,0.00966959227796186,57.333333333333336,1500.0,86.33333333333333
DAVIS346,DVS,iou,100,100,10.01,,,0.1,,"~$3,000 (dev kit)",0.3906666666666667,0.33460260658857033,0.14054369772008768,103.66666666666667,1500.0,1217.6666666666667
DAVIS346,DVS,iou,200,200,10.02,,,0.1,,"~$3,000 (dev kit)",0.3002222222222222,0.3332518757447382,0.0906340120493077,142.0,1500.0,1065.6666666666667
DAVIS346,DVS,iou,50,50,10.0,,,0.1,,"~$3,000 (dev kit)",0.3711111111111111,0.33440520516075334,0.18511536913626733,117.33333333333333,1500.0,1269.3333333333333
DAVIS346,DVS,iou,500,500,10.05,,,0.1,,"~$3,000 (dev kit)",0.06555555555555555,0.3302229352127118,0.031945575890487056,219.0,1500.0,544.6666666666666
DAVIS346,DVS,sort,10,10,10.0,,,0.1,,"~$3,000 (dev kit)",0.6722222222222222,0.29964990629830673,0.4543522177751085,73.0,1500.0,1270.0
DAVIS346,DVS,sort,50,50,10.0,,,0.1,,"~$3,000 (dev kit)",0.6706666666666666,0.29741739869912714,0.5031153116836459,62.0,1500.0,1264.0
DAVIS346,DVS,sort,100,100,10.01,,,0.1,,"~$3,000 (dev kit)",0.6884444444444444,0.29423411552807927,0.4167431946627392,57.333333333333336,1500.0,1246.6666666666667
Samsung DVS-Gen3.1,DVS,centroid,10,10,10.0,,,0.1,,~$100-300 (module),0.9802222222222222,0.23425920321643987,0.9900946021146355,0.0,1500.0,1495.0
DAVIS346,DVS,sort,200,200,10.02,,,0.1,,"~$3,000 (dev kit)",0.6582222222222223,0.2973652814345916,0.28631289467405063,50.0,1500.0,1201.3333333333333
Samsung DVS-Gen3.1,DVS,centroid,50,50,10.0,,,0.1,,~$100-300 (module),0.9780000000000001,0.23350486458788386,0.9889816360601001,0.0,1500.0,1495.0
Samsung DVS-Gen3.1,DVS,centroid,100,100,10.0,,,0.1,,~$100-300 (module),0.968,0.2320932981602922,0.622892238972641,5.0,1500.0,1485.0
Samsung DVS-Gen3.1,DVS,centroid,200,200,10.01,,,0.1,,~$100-300 (module),0.9515555555555556,0.23471931219882028,0.33950409514192753,13.666666666666666,1500.0,1471.0
DAVIS346,DVS,sort,500,500,10.05,,,0.1,,"~$3,000 (dev kit)",0.5066666666666667,0.2973830514372776,0.13264437267502496,68.33333333333333,1500.0,998.3333333333334
Samsung DVS-Gen3.1,DVS,centroid,500,500,10.02,,,0.1,,~$100-300 (module),0.8971111111111112,0.23137775395988558,0.13675213675213677,58.0,1500.0,1425.0
DAVIS346,DVS,sort,1000,1000,10.1,,,0.1,,"~$3,000 (dev kit)",0.08422222222222224,0.32865392819384964,0.07214192749880612,79.33333333333333,1500.0,311.0
DAVIS346,DVS,sort,2000,2000,10.19,,,0.1,,"~$3,000 (dev kit)",0.0013333333333333715,0.31574790575169126,0.007045676213326008,3.6666666666666665,1500.0,13.666666666666666
